Time (year),tas (K)
1850.5,286.56549072265625
1851.5,286.58819580078125
1852.5,286.607666015625
1853.5,286.62615966796875
1854.5,286.6441955566406
1855.5,286.66070556640625
1856.5,286.6795349121094
1857.5,286.701171875
1858.5,286.7210693359375
1859.5,286.74029541015625
1860.5,286.7621765136719
1861.5,286.7861328125
1862.5,286.806884765625
1863.5,286.8291320800781
1864.5,286.85479736328125
1865.5,286.87744140625
1866.5,286.9017028808594
1867.5,286.9264831542969
1868.5,286.95831298828125
1869.5,286.98681640625
1870.5,287.01483154296875
1871.5,287.04241943359375
1872.5,287.06646728515625
1873.5,287.08892822265625
1874.5,287.11163330078125
1875.5,287.1318359375
1876.5,287.15350341796875
1877.5,287.1764221191406
1878.5,287.19891357421875
1879.5,287.2258605957031
1880.5,287.25640869140625
1881.5,287.2846374511719
1882.5,287.3091125488281
1883.5,287.3348083496094
1884.5,287.3589782714844
1885.5,287.38763427734375
1886.5,287.4181213378906
1887.5,287.44720458984375
1888.5,287.47650146484375
1889.5,287.5082702636719
1890.5,287.5371398925781
1891.5,287.5683288574219
1892.5,287.5987854003906
1893.5,287.6282043457031
1894.5,287.65753173828125
1895.5,287.6888732910156
1896.5,287.7192077636719
1897.5,287.75177001953125
1898.5,287.78363037109375
1899.5,287.8165588378906
1900.5,287.848876953125
1901.5,287.88153076171875
1902.5,287.91339111328125
1903.5,287.9457702636719
1904.5,287.97955322265625
1905.5,288.01226806640625
1906.5,288.0452575683594
1907.5,288.0788879394531
1908.5,288.1103820800781
1909.5,288.1439208984375
1910.5,288.1776123046875
1911.5,288.21051025390625
1912.5,288.243896484375
1913.5,288.2752685546875
1914.5,288.3075256347656
1915.5,288.3387451171875
1916.5,288.3695983886719
1917.5,288.3991394042969
1918.5,288.4219055175781
1919.5,288.4356994628906
1920.5,288.4468688964844
1921.5,288.45367431640625
1922.5,288.46002197265625
1923.5,288.46282958984375
1924.5,288.4653015136719
1925.5,288.4674987792969
1926.5,288.4690246582031
1927.5,288.469482421875
1928.5,288.46966552734375
1929.5,288.4693603515625
1930.5,288.4694519042969
1931.5,288.4668884277344
1932.5,288.4674377441406
1933.5,288.465087890625
1934.5,288.4630432128906
1935.5,288.4606628417969
1936.5,288.4595031738281
1937.5,288.4582824707031
1938.5,288.4552001953125
1939.5,288.451904296875
1940.5,288.4512634277344
