Time (year),tas (K)
1850.5,286.56549072265625
1851.5,286.58819580078125
1852.5,286.607666015625
1853.5,286.62615966796875
1854.5,286.6441955566406
1855.5,286.66070556640625
1856.5,286.6795349121094
1857.5,286.701171875
1858.5,286.7210693359375
1859.5,286.74029541015625
1860.5,286.7621765136719
1861.5,286.7861328125
1862.5,286.806884765625
1863.5,286.8291320800781
1864.5,286.85479736328125
1865.5,286.87744140625
1866.5,286.9017028808594
1867.5,286.9264831542969
1868.5,286.95831298828125
1869.5,286.98681640625
1870.5,287.01483154296875
1871.5,287.04241943359375
1872.5,287.06646728515625
1873.5,287.08892822265625
1874.5,287.11163330078125
1875.5,287.1318359375
1876.5,287.15350341796875
1877.5,287.1764221191406
1878.5,287.19891357421875
1879.5,287.2258605957031
1880.5,287.25640869140625
1881.5,287.2846374511719
1882.5,287.3091125488281
1883.5,287.3348083496094
1884.5,287.3589782714844
1885.5,287.38763427734375
1886.5,287.4181213378906
1887.5,287.44720458984375
1888.5,287.47650146484375
1889.5,287.5082702636719
1890.5,287.5371398925781
1891.5,287.5683288574219
1892.5,287.5987854003906
1893.5,287.6282043457031
1894.5,287.65753173828125
1895.5,287.6888732910156
1896.5,287.7192077636719
1897.5,287.75177001953125
1898.5,287.78363037109375
1899.5,287.8165588378906
1900.5,287.848876953125
1901.5,287.88153076171875
1902.5,287.91339111328125
1903.5,287.9457702636719
1904.5,287.97802734375
1905.5,288.00372314453125
1906.5,288.02197265625
1907.5,288.035400390625
1908.5,288.04364013671875
1909.5,288.0513610839844
1910.5,288.0575256347656
1911.5,288.0597229003906
1912.5,288.0630798339844
1913.5,288.0630798339844
1914.5,288.06396484375
1915.5,288.0631103515625
1916.5,288.0606689453125
1917.5,288.0577392578125
1918.5,288.05523681640625
1919.5,288.05181884765625
1920.5,288.0480041503906
1921.5,288.0447692871094
1922.5,288.0398254394531
1923.5,288.0354919433594
1924.5,288.0323181152344
1925.5,288.0291442871094
1926.5,288.02459716796875
1927.5,288.02142333984375
1928.5,288.01666259765625
1929.5,288.01361083984375
1930.5,288.0106201171875
1931.5,288.0079650878906
1932.5,288.0044250488281
1933.5,288.0002746582031
1934.5,287.99688720703125
1935.5,287.994384765625
1936.5,287.9899597167969
1937.5,287.98785400390625
1938.5,287.98333740234375
1939.5,287.9814758300781
1940.5,287.9781799316406
