Time (year),hfds (W m-2 s-1)
1850.5,0.24384677410125732
1851.5,0.2798135280609131
1852.5,0.31279733777046204
1853.5,0.35537880659103394
1854.5,0.40184202790260315
1855.5,0.4318509101867676
1856.5,0.4890521466732025
1857.5,0.5353098511695862
1858.5,0.5638324618339539
1859.5,0.6160562634468079
1860.5,0.6576115489006042
1861.5,0.6988750100135803
1862.5,0.7336018085479736
1863.5,0.7780787944793701
1864.5,0.8208354711532593
1865.5,0.8552948236465454
1866.5,0.8940746784210205
1867.5,0.9117663502693176
1868.5,0.9543555974960327
1869.5,0.9984716176986694
1870.5,1.0362858772277832
1871.5,1.07858145236969
1872.5,1.1147412061691284
1873.5,1.1525908708572388
1874.5,1.1947495937347412
1875.5,1.2323251962661743
1876.5,1.2719930410385132
1877.5,1.3133360147476196
1878.5,1.3490018844604492
1879.5,1.3919113874435425
1880.5,1.4188077449798584
1881.5,1.455074667930603
1882.5,1.5003753900527954
1883.5,1.5328139066696167
1884.5,1.572219967842102
1885.5,1.606519103050232
1886.5,1.6348586082458496
1887.5,1.665096402168274
1888.5,1.6970704793930054
1889.5,1.7305097579956055
1890.5,1.7622923851013184
1891.5,1.7949185371398926
1892.5,1.8306646347045898
1893.5,1.8586413860321045
1894.5,1.8951786756515503
1895.5,1.92057204246521
1896.5,1.959713101387024
1897.5,1.986063838005066
1898.5,2.0186049938201904
1899.5,2.045339345932007
1900.5,2.072707176208496
1901.5,2.1028714179992676
1902.5,2.1304876804351807
1903.5,2.163689374923706
1904.5,2.1879050731658936
1905.5,2.214951992034912
1906.5,2.2468433380126953
1907.5,2.275667667388916
1908.5,2.305598020553589
1909.5,2.3339743614196777
1910.5,2.362764358520508
1911.5,2.3983538150787354
1912.5,2.42631196975708
1913.5,2.456064462661743
1914.5,2.4897332191467285
1915.5,2.5221219062805176
1916.5,2.5586791038513184
1917.5,2.5898489952087402
1918.5,2.620260000228882
1919.5,2.6644577980041504
1920.5,2.6924760341644287
1921.5,2.723381757736206
1922.5,2.7621917724609375
1923.5,2.7916557788848877
1924.5,2.827627658843994
1925.5,2.8590807914733887
1926.5,2.8937854766845703
1927.5,2.9317002296447754
1928.5,2.963245153427124
1929.5,2.995100498199463
1930.5,3.027249574661255
1931.5,3.060997247695923
